industry,total_quantity
Gold and silver ore mining,449912209.7279774
Lead-Zinc Ore Mining,130859946.91699998
Lead-zinc ore mining,85195047.31310001
Copper-zinc ore mining,74497990.03411591
Gold and Silver Ore Mining,56507641.48240009
Waste Treatment and Disposal,53460690.06239987
Waste treatment and disposal,43462706.636076935
Non-Ferrous Metal (except Aluminum) Smelting and Refining,32010592.006518934
Nickel-copper ore mining,25987034.00774398
Non-ferrous metal (except aluminum) smelting and refining,23957291.76626004
Mined oil sands extraction,21989968.553764995
Non-Ferrous Foundries (except Die-Casting),17088545.474899963
Uranium ore mining,16019617.964749994
Non-ferrous foundries (except die-casting),13298371.5328
Iron and steel mills and ferro-alloy manufacturing,12322701.38211202
