substance_name,cas_number,total_quantity
Sulphur dioxide,7446-09-5,25585539.631175756
Carbon monoxide,630-08-0,19128328.57811375
Nitrogen oxides (expressed as nitrogen dioxide),11104-93-1,13873598.019676846
Total particulate matter,NA - M08,7094999.075552883
Lead (and its compounds),NA - 08,6741163.659552963
Volatile Organic Compounds (VOCs),NA - M16,4753350.655236055
PM10 - Particulate Matter <= 10 Micrometers,NA - M09,3089229.0370240267
Arsenic (and its compounds),NA - 02,2094373.3418049985
Phenanthrene,85-01-8,1909094.1962889992
Ammonia (total),NA - 16,1625867.081768035
